,dimension,term,dir,examples,example_source,synset,definition
351,Agency,dominated,low,"['You dominated the conversation', 'As a child you were dominated by your father.',  'The insurance market is totally dominated by the private pension organizations.']",Oxford Learner's Dictionary,dominated.s.01,controlled or ruled by superior authority or power
352,Agency,dominating,high,"['the economically dominating class', 'd-day is considered the dominating event of the war in europe']",WordNet,ascendant.s.02,most powerful or important or influential
353,Agency,dominant,high,"['television plays a dominant role in molding public opinion', 'the dominant partner in the marriage']",WordNet,dominant.a.01,exercising influence or control
354,Agency,dominance,high,['her apparent dominance of her husband was really her attempt to make him pay attention to her'],WordNet,dominance.n.02,the state that exists when one person or group has power over another
355,Agency,submissive,low,"['submissive servants', 'a submissive reply', 'replacing troublemakers with more submissive people']",WordNet,submissive.a.01,inclined or willing to submit to orders or wishes of others or showing such inclination
356,Agency,submissive,low,"['submissive devotion to her job ruled her life', 'a submissive yes-man to the party bosses', 'she has become submissive and subservient']",WordNet,slavish.s.02,abjectly submissive; characteristic of a slave or servant; ; - S.H.Adams
357,Agency,submission,low,"['The emperor demanded total submission from his subjects', 'They bombed the town into submission', 'the patient\'s submission to the demands of the hospital']",Oxford Learner's Dictionary,submission.n.02,the act of submitting; usually surrendering power to another
358,Agency,submission,low,"['the union was brought into submission', 'his submission to the will of god']",WordNet,submission.n.03,the condition of having submitted to control by someone or something else
359,Agency,meek,low,"['meek obedience', 'meek as a mouse']",WordNet,meek.s.02,very docile; ; - Langston Hughes
360,Agency,meek,low,"['compliant and meek to suit his opinions of those of others', 'a fine fiery blast against meek conformity', 'she looked meek but had the heart of a lion', 'was submissive and meek']",WordNet,meek.s.03,evidencing little spirit or courage; overly submissive or compliant; ; - Orville Prescott
361,Agency,vulnerable,low,['a vulnerable bridge'],WordNet,vulnerable.a.01,susceptible to attack
362,Agency,aggressive,high,"['an aggressive businessman', 'an aggressive basketball player', 'he was aggressive and imperious; positive in his convictions', 'aggressive drivers']",WordNet,aggressive.a.01,having or showing determination and energetic pursuit of your ends
363,Agency,aggressive,high,"['aggressive acts against another country', 'an aggressive tone']",WordNet,aggressive.s.03,characteristic of an enemy or one eager to fight
364,Agency,docile,low,['the docile masses of an enslaved nation'],WordNet,docile.a.01,willing to be taught or led or supervised or directed
365,Status,status,high,"['he had the status of a minor', 'the novel attained the status of a classic', 'atheists do not enjoy a favorable status in american life']",WordNet,status.n.01,the relative position or standing of things or especially persons in a society
366,Status,poor,low,['the urban poor need assistance'],WordNet,poor_people.n.01,people without possessions or wealth (considered as a group)
367,Status,poor,low,"['deplored the gap between rich and poor countries', 'the proverbial poor artist living in a garret']",WordNet,poor.a.02,having little money or few possessions
368,Status,wealthy,high,"['an wealthy banker', 'a wealthy flush with cash', 'not merely wealthy but loaded', 'wealthy aristocrats', 'wealthy corporations']",WordNet,affluent.s.01,having an abundant supply of money or possessions of value
369,Status,rich,high,['only the very rich benefit from this legislation'],WordNet,rich_people.n.01,people who have possessions and wealth (considered as a group)
370,Status,rich,high,"['her father is extremely rich', 'many fond hopes are pinned on rich uncles']",WordNet,rich.a.01,possessing material wealth
371,Status,powerful,high,"['the most powerful government in western europe', 'his powerful arms', 'a powerful bomb', ""the horse's powerful kick"", 'powerful drugs', 'a powerful argument']",WordNet,powerful.a.01,having great power or force or potency or effect
372,Status,powerful,high,['a powerful blow'],WordNet,knock-down.s.01,strong enough to knock down or overwhelm
373,Status,powerless,low,"['When the enemy attacked, we were completely powerless against them', 'As children we all feel powerless']",Oxford Learner's Dictionary,powerless.a.01,lacking power
374,Status,power,high,"['the deterrent power of nuclear weapons', 'the power of his love saved her', 'his power fulness was concealed by a gentle facade']",WordNet,power.n.01,possession of controlling influence
375,Status,poverty,low,"['conditions of extreme poverty', 'Many elderly people live in poverty.', 'a plan to eradicate urban poverty']",Oxford Learner's Dictionary,poverty.n.01,the state of having little or no money and few or no material possessions
376,Status,wealth,high,['great wealth is not a sign of great intelligence'],WordNet,wealth.n.01,the state of being rich and affluent; having a plentiful supply of material goods and money
377,Status,superior,high,['this model is technically superior to its competitors'],WordNet,superior.n.01,one of greater rank or station or quality
378,Status,superior,high,['a superior ruler'],Oxford Learner's Dictionary,superior.a.02,of or characteristic of high rank or importance
379,Status,inferior,low,"['of inferior quality', 'The cracks in the structure were due to the poor-quality materials and inferior workmanship.', 'These later paintings are slightly inferior in value.']",Oxford Learner's Dictionary,inferior.n.01,one of lesser rank or station or quality
380,Status,inferior,low,"[ 'Her obvious popularity made me feel inferior.', 'His later work was vastly inferior to his early work', 'Women are often regarded as inferior.']",Oxford Learner's Dictionary,inferior.a.01,of or characteristic of low rank or importance
381,Status,prestigious,high,"['our prestigious leader', 'a prestigious author']",WordNet,esteemed.s.01,having an illustrious reputation; respected
382,Status,prestigious,high,['a prestigious professor at a prestigious university'],WordNet,prestigious.s.02,exerting influence by reason of high status or prestige
383,Status,prestige,high,['he wanted to achieve power and prestige'],WordNet,prestige.n.01,a high standing achieved through success or influence or wealth etc.
384,Status,influential,high,"['an influential newspaper', 'influential leadership for peace']",WordNet,influential.a.01,having or exercising influence or power
385,Status,uninfluential,low,"['Despite his extensive knowledge and passion, his opinions remained uninfluential in the decision-making process.']",Oxford Learner's Dictionary,uninfluential.a.01,not influential
386,Status,successful,high,"['a successful architect', 'a successful business venture']",WordNet,successful.a.01,having succeeded or being marked by a favorable outcome
387,Status,unsuccessful,low,"['they were unsuccessful in meeting their objectives for the year.', 'Unsuccessful applicants will be informed by post.', 'The secret service had been remarkably unsuccessful at catching spies.']",Oxford Learner's Dictionary,unsuccessful.a.01,not successful; having failed or having an unfavorable outcome
388,Status,important,high,"['important people', 'the important questions of the day']",WordNet,important.a.01,of great significance or value
389,Status,important,high,"['an important official', ""the captain\'s important manner""]",WordNet,authoritative.s.01,having authority or ascendancy or influence
390,Status,insignificant,low,['insignificant sounds'],WordNet,insignificant.s.02,signifying nothing
391,Status,insignificant,low,"['a minor, insignificant bureaucrat', 'insignificant politicians']",WordNet,insignificant.s.03,of little importance or influence or power; of minor status
392,Status,insignificant,low,"['an insignificant difference', 'The levels of chemicals in the river are not insignificant']",Oxford Learner's Dictionary,insignificant.a.04,"devoid of importance, meaning, or force"
393,Status,resourceful,high,"['someone who is resourceful is capable of dealing with difficult situations', 'an able and resourceful politician', 'the most resourceful cook in town']",WordNet,resourceful.s.01,having inner resources; adroit or imaginative
394,Status,eminent,high,"['people in eminent places', 'the eminent priest', 'eminent members of the community']",WordNet,eminent.s.01,standing above others in quality or position
395,Status,eminent,high,"['an eminent peak', 'eminent mountains', 'the eminent spires of the cathedral', 'eminent icebergs']",WordNet,eminent.s.02,of imposing height; especially standing out above others
396,Status,low,low,"['a low cottage', 'a low parish priest', 'a low man of the people', 'low beginnings']",WordNet,humble.s.01,low or inferior in station or quality
397,Status,respected,high,['a respected family'],WordNet,respected.s.01,receiving deferential regard
398,Status,disreputable,low,"['She spent the evening with her disreputable brother Stefan', 'a disreputable area of the city', 'This approach remains intellectually disreputable even now']",Oxford Learner's Dictionary,disreputable.a.01,lacking respectability in character or behavior or appearance
399,Politics,traditional,high,"['traditional history', 'traditional morality']",WordNet,traditional.a.01,consisting of or derived from tradition
400,Politics,traditional,high,['the simple security of traditional assumptions has vanished'],WordNet,traditional.s.02,pertaining to time-honored orthodox doctrines
401,Politics,modern,low,"['modern art', 'modern furniture', 'modern history', 'totem poles are modern rather than prehistoric']",WordNet,modern.a.01,belonging to the modern era; since the Middle Ages
402,Politics,modern,low,"['the modern teaching methods', 'had modern views on the subject', 'a modern corporation', 'is British industry modern enough?']",WordNet,modern.s.03,characteristic of present-day art and music and literature and architecture
403,Politics,modern,low,"['modern society', 'In modern times, advances in technology have made the world smaller', 'the wonders of modern science', 'the modern industrial world']",Oxford Learner's Dictionary,advanced.s.03,ahead of the times
404,Politics,modern,low,"['modern english', 'modern hebrew is israeli hebrew']",WordNet,modern.s.05,used of a living language; being the current stage in its development
405,Politics,conventional,high,"['conventional wisdom', 'she had strayed from the path of conventional behavior', 'conventional forms of address']",Oxford Learner's Dictionary,conventional.a.01,following accepted customs and proprieties
406,Politics,conventional,high,['a conventional view of the world'],Oxford Learner's Dictionary,conventional.s.02,conforming with accepted standards
407,Politics,conventional,high,"['conventional bourgeois lives', 'conventional attitudes']",WordNet,conventional.a.04,unimaginative and conformist
408,Politics,conventional,high,"['a conventional church wedding with the bride in traditional white', 'the conventional handshake']",WordNet,conventional.s.06,in accord with or being a tradition or practice accepted from the past
409,Politics,unconventional,low,['her unconventional dress and hair style'],WordNet,unconventional.a.01,not conforming to accepted rules or standards
410,Politics,unconventional,low,['unconventional life styles'],WordNet,unconventional.a.02,not conventional or conformist
411,Politics,alternative,low,['an alternative life style'],WordNet,alternative.s.03,pertaining to unconventional choices
412,Politics,conservative,high,['The former Texas Supreme Court Justice\'s moderate record has angered a hard-line conservative for years.'],Oxford Learner's Dictionary,conservative.n.01,a person who is reluctant to accept changes and new ideas
413,Politics,conservative,high,"[ 'music which is accessible to an audience with extremely conservative tastes', 'a traditionally conservative profession']",WordNet,conservative.a.01,resistant to change
414,Politics,conservative,high,"['the conservative views of his parents', 'a fundamentally conservative political outlook']",WordNet,conservative.s.02,having social or political views favoring conservatism
415,Politics,liberal,low,"[' the liberal wasted no time in celebrating the right-winger\'s defeat.', 'an outspoken liberal and supporter of workers\' rights.']",Oxford Learner's Dictionary,liberal.n.01,a person who favors a political philosophy of progress and reform and the protection of civil liberties
416,Politics,liberal,low,"['a liberal political stance', 'generous and liberal sympathies', 'a liberal newspaper']",WordNet,broad.s.08,showing or characterized by broad-mindedness
417,Politics,liberal,low,"['Some politicians want more liberal trade relations with Europe.', 'a broadly liberal set of policies']",Oxford Learner's Dictionary,liberal.s.02,having political or social views favoring reform and progress
418,Politics,liberal,low,"['The liberal approach embraces openness to change and rejects rigid adherence to authoritarianism, orthodoxy, or tradition.']",Oxford Learner's Dictionary,liberal.a.03,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
419,Politics,democrat,low,['democrat is a member or supporter of the Democratic Party '],Oxford Learner's Dictionary,democrat.n.01,a member of the Democratic Party
420,Politics,republican,high,['republican is a member or supporter of the Republican Party'],Oxford Learner's Dictionary,republican.n.01,a member of the Republican Party
421,Politics,progressive,low,"['As a liberal, they advocated for progressive policies, championing social justice, civil liberties, and meaningful reforms to address societal issues.']",Oxford Learner's Dictionary,liberal.n.01,a person who favors a political philosophy of progress and reform and the protection of civil liberties
422,Politics,progressive,low,['progressive schools'],WordNet,progressive.a.01,favoring or promoting progress
423,Politics,progressive,low,['Are you in favour of progressive teaching methods?'],Oxford Learner's Dictionary,progressive.s.02,favoring or promoting reform (often by government action)
424,Politics,narrow-minded,high,"['a brilliant but narrow-minded judge', 'narrow-minded opinions']",WordNet,narrow-minded.a.02,lacking tolerance or flexibility or breadth of view
425,Politics,narrow-minded,high,"['Due to my narrow-minded beliefs, I was unwilling to consider viewpoints outside of my own sect\'s doctrines, showing little tolerance for alternative perspectives.']",Oxford Learner's Dictionary,narrow-minded.s.03,rigidly adhering to a particular sect or its doctrines
426,Politics,open-minded,low,"['an open-minded curiosity', 'open-minded impartiality']",WordNet,open-minded.s.01,ready to entertain new ideas
427,Religion,religion,high,['he lost his religion but not his morality'],WordNet,religion.n.01,a strong belief in a supernatural power or powers that control human destiny
428,Religion,religion,high,"['he was raised in the baptist religion', 'a member of his own religion contradicted him']",WordNet,religion.n.02,an institution to express belief in a divine power
429,Religion,irreligion,low,['Their irreligion was apparent in their disregard for religious rituals and their overall lack of devotion to any specific faith.'],Oxford Learner's Dictionary,irreligiousness.n.01,the quality of not being devout
430,Religion,religious,high,"['religious texts', 'a member of a religious order', 'lords temporal and religious', 'religious leaders', 'religious songs']",WordNet,religious.s.01,concerned with sacred matters or religion or the church
431,Religion,religious,high,"['a religious man', 'religious attitude']",WordNet,religious.a.02,having or showing belief in and reverence for a deity
432,Religion,religious,high,['the religious or regular clergy conducts the service'],WordNet,religious.a.03,of or relating to clergy bound by monastic vows
433,Religion,profane,low,"['sacred and profane music', 'profane drama', 'profane architecture', 'children being brought up in an entirely profane environment']",WordNet,profane.a.02,"not concerned with or devoted to religion; ; ; ,"
434,Religion,irreligious,low,['Their irreligious stance was evident in their indifference towards religious practices and their lack of interest in matters of faith.'],Oxford Learner's Dictionary,irreligious.a.01,hostile or indifferent to religion
435,Religion,secular,low,['We live in a largely secular society not connected with spiritual or religious matters'],Oxford Learner's Dictionary,secular.a.01,of or relating to the doctrine that rejects religion and religious considerations
436,Religion,christian,high,['christian rites'],WordNet,christian.a.01,relating to or characteristic of Christianity
437,Religion,muslim,high,['a Muslim family'],Oxford Learner's Dictionary,muslim.n.01,a believer in or follower of Islam
438,Religion,muslim,high,['muslim art'],WordNet,muslim.a.01,of or relating to or supporting Islamism
439,Religion,jew,high,"['He was born a Jew in 1st-century Palestine', 'His family are all observant Jew']",Oxford Learner's Dictionary,jew.n.01,a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties
440,Religion,jewish,high,"['he is jewish', 'a jewish wedding']",WordNet,jewish.a.01,of or relating to Jews or their culture or religion
441,Religion,hindu,high,['the hindu faith'],WordNet,hindu.a.01,of or relating to or supporting Hinduism
442,Religion,believer,high,"['As devout believer, they found solace and strength in their religious faith during challenging times.']",Oxford Learner's Dictionary,believer.n.02,a person who has religious faith
443,Religion,belief,high,"['The incident has shaken my belief', 'They share a belief that there is life after death']",Oxford Learner's Dictionary,belief.n.01,any cognitive content held as true
444,Religion,belief,high,"['his belief of her was favorable', 'what are your belief about the crisis?', 'it strengthened my belief in his sincerity', 'i had a belief that she was lying']",WordNet,impression.n.01,a vague idea in which some confidence is placed
445,Religion,christianity,high,['Christianity spread rapidly in the first century'],Oxford Learner's Dictionary,christianity.n.01,a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior
446,Religion,church,high,"['The Catholic Church teaches that life begins at conception', 'Linda joined the local Methodist church']",WordNet,church.n.01,one of the groups of Christians who have their own beliefs and forms of worship
447,Religion,god,high,"['Christians believe that Jesus is the Son of god', 'He saw the accident as the will of God.', 'Nothing ever shook her faith in God']",Oxford Learner's Dictionary,god.n.01,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
448,Religion,god-fearing,high,['a god-fearing and law-abiding people'],WordNet,devout.s.01,deeply religious;  H.L.Mencken
449,Religion,atheist,low,['atheist leanings'],WordNet,atheist.a.01,related to or characterized by or given to atheism
450,Religion,nonbeliever,low,['an effort to convert the nonbeliever' ],Oxford Learner's Dictionary,disbeliever.n.01,someone who refuses to believe (as in a divinity)
451,Religion,skeptic,low,"['I am a born skeptic.', 'He was unable to convince the skeptic s in the audience']",Oxford Learner's Dictionary,skeptic.n.01,someone who habitually doubts accepted beliefs
452,Religion,skeptical,low,['a skeptical approach to the nature of miracles'],WordNet,disbelieving.s.01,denying or questioning the tenets of especially a religion
453,Religion,agnostic,low,"['Although he was raised a Catholic, he was an agnostic for most of his adult life', 'The group includes atheists and agnostic s as well as religious believers', 'He is agnostic on the existence of God']",Cambridge Dictionary,agnostic.a.01,of or pertaining to an agnostic or agnosticism
454,Religion,agnostic,low,"['Being  agnostic, they remained uncertain about the existence of God, acknowledging the limitations of human knowledge on such matters.']",Oxford Learner's Dictionary,agnostic.n.02,a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
